,feature,importance
69,value__quantile__q_0.1,0.0958434177863441
70,value__quantile__q_0.2,0.06930527355154201
141,"value__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",0.056494780231572075
220,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.034624090026741695
632,value__range_count__max_1__min_-1,0.033722222670361394
154,"value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.030793704043762058
219,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",0.025309408385679757
16,value__absolute_sum_of_changes,0.021203084528854464
159,value__ar_coefficient__coeff_0__k_10,0.019211544720428814
692,value__mean_n_absolute_max__number_of_maxima_7,0.018846764225131478
215,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.014310920724662909
509,"value__fft_coefficient__attr_""abs""__coeff_80",0.013264485639040575
649,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.012833516984047224
635,value__approximate_entropy__m_2__r_0.5,0.012271890691687921
145,"value__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",0.01116931134651552
5,value__mean_abs_change,0.011131016706104287
382,"value__fft_coefficient__attr_""imag""__coeff_53",0.01026291899767429
221,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",0.0095052489147068
87,value__binned_entropy__max_bins_10,0.008946944660327914
32,value__absolute_maximum,0.008346083895581046
208,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.008280655319322053
659,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",0.007986653852300156
133,"value__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",0.007952377340788689
432,"value__fft_coefficient__attr_""abs""__coeff_3",0.007851999864846497
438,"value__fft_coefficient__attr_""abs""__coeff_9",0.007843159242913079
362,"value__fft_coefficient__attr_""imag""__coeff_33",0.007760127891542936
74,value__quantile__q_0.7,0.007625515585892479
496,"value__fft_coefficient__attr_""abs""__coeff_67",0.00759451459531404
275,"value__fft_coefficient__attr_""real""__coeff_45",0.0074983770779932755
